.HEADER
..NAMES
Time,u1/v,u2/i
..UNITS
s,Voltage(V),Current(A)
..DATATYPES
double,double,double
..WAVEFORM_TYPES
-,analog,analog
..AXIS_SPACING
linear
.DATA
0.0,-1.1049949050557986,-0.04043184134065546
4.500000000000001E-9,-1.1049949046611256,-0.04043184130154033
1.35E-8,-1.1049949038686295,-0.04043184122332441
3.1500000000000004E-8,-1.104994902283415,-0.040431841066893556
6.300000000000002E-8,-1.1049948995092678,-0.04043184079313969
1.1025000000000006E-7,-1.1049948953480657,-0.04043184038250879
1.7640000000000012E-7,-1.1049948895223654,-0.04043183980762561
2.646000000000003E-7,-1.1049948817547817,-0.04043183904111462
3.780000000000005E-7,-1.1049948717678721,-0.040431838055600584
5.197500000000007E-7,-1.104994859284251,-0.04043183682370796
6.93000000000001E-7,-1.104994844026476,-0.040431835318061465
9.009000000000015E-7,-1.1049948257171616,-0.04043183351128563
1.146600000000002E-6,-1.1049948040788657,-0.04043183137600515
1.4332500000000028E-6,-1.1049947788342018,-0.040431828884844534
1.7640000000000038E-6,-1.1049947497057289,-0.0404318260104285
2.1420000000000046E-6,-1.1049947164160598,-0.040431822725381546
2.570400000000006E-6,-1.1049946786877536,-0.040431819002328395
3.052350000000007E-6,-1.104994636243423,-0.04043181481389353
3.5910000000000085E-6,-1.1049945888056272,-0.04043181013270168
4.1895000000000105E-6,-1.1049945360969793,-0.040431804931377366
4.8510000000000125E-6,-1.104994477840038,-0.04043179918254528
5.578650000000015E-6,-1.1049944137574157,-0.04043179285882992
6.375600000000017E-6,-1.1049943435716723,-0.04043178593285604
7.24500000000002E-6,-1.1049942670054196,-0.040431778377248095
8.190000000000025E-6,-1.1049941837812172,-0.04043177016463082
9.213750000000028E-6,-1.1049940936216769,-0.04043176126762874
1.0319400000000032E-5,-1.1049939962493587,-0.04043175165886655
1.1510100000000036E-5,-1.1049938913868742,-0.04043174131096875
1.2789000000000041E-5,-1.104993778756783,-0.04043173019656009
1.4159250000000046E-5,-1.1049936580816961,-0.040431718288265014
1.5624000000000052E-5,-1.1049935290841744,-0.0404317055587083
1.7186400000000056E-5,-1.104993391486828,-0.04043169198051442
1.8849600000000064E-5,-1.1049932450122173,-0.04043167752630811
2.0616750000000073E-5,-1.1049930893829532,-0.04043166216871385
2.249100000000008E-5,-1.1049929243215952,-0.040431645880356394
2.4475500000000088E-5,-1.1049927495507548,-0.040431628633860205
2.6573400000000097E-5,-1.1049925647929908,-0.040431610401850046
2.8787850000000104E-5,-1.1049923697709145,-0.04043159115695038
3.112200000000011E-5,-1.104992164207085,-0.040431570871785984
3.357900000000013E-5,-1.104991947824113,-0.0404315495189813
3.616200000000014E-5,-1.1049917203445576,-0.0404315270711611
3.887415000000015E-5,-1.1049914814910295,-0.04043150350094986
4.171860000000016E-5,-1.1049912309860876,-0.04043147878097232
4.4698500000000175E-5,-1.1049909685523427,-0.04043145288385299
4.781700000000019E-5,-1.1049906939123524,-0.04043142578221657
5.1077250000000206E-5,-1.104990406788728,-0.04043139744868761
5.448240000000022E-5,-1.1049901069040269,-0.040431367855890785
5.803560000000024E-5,-1.1049897939808597,-0.04043133697645063
6.174000000000026E-5,-1.104989467741785,-0.040431304782991895
6.559875000000027E-5,-1.1049891279094115,-0.04043127124813903
6.96150000000003E-5,-1.104988774206298,-0.04043123634451684
7.379190000000032E-5,-1.1049884063550535,-0.04043120004474975
7.813260000000034E-5,-1.1049880240782355,-0.04043116232146256
8.264025000000036E-5,-1.1049876270984536,-0.040431123147279764
8.73180000000004E-5,-1.1049872151382647,-0.04043108249482606
9.216900000000042E-5,-1.104986787920278,-0.04043104033672601
9.719640000000046E-5,-1.1049863451670499,-0.04043099664560431
1.0240335000000047E-4,-1.1049858866011895,-0.0404309513940855
1.077930000000005E-4,-1.1049854119452531,-0.040430904554794304
1.1336850000000053E-4,-1.104984920921849,-0.040430856100355246
1.1913300000000055E-4,-1.104984413253533,-0.04043080600339303
1.250896500000006E-4,-1.104983888662913,-0.04043075423653222
1.3124160000000062E-4,-1.104983346872545,-0.04043070077239752
