.HEADER
..NAMES
Time,u1/v,u2/i
..UNITS
s,Voltage(V),Current(A)
..DATATYPES
double,double,double
..WAVEFORM_TYPES
-,analog,analog
..AXIS_SPACING
linear
.DATA
0.0,-1.874079567149438,-0.03693600196750256
4.500000000000001E-9,-1.874079565918309,-0.036936001932189495
1.35E-8,-1.8740795634495087,-0.03693600186159314
3.1500000000000004E-8,-1.8740795585008134,-0.03693600172045084
6.300000000000002E-8,-1.8740795497999734,-0.03693600147363649
1.1025000000000006E-7,-1.8740795366946548,-0.03693600110366066
1.7640000000000012E-7,-1.8740795183021837,-0.03693600058589916
2.646000000000003E-7,-1.8740794937559098,-0.03693599989565496
3.780000000000005E-7,-1.8740794621902561,-0.03693599900822612
5.197500000000007E-7,-1.8740794227327036,-0.036935997898942266
6.93000000000001E-7,-1.8740793745068407,-0.03693599654315072
9.009000000000015E-7,-1.8740793166357992,-0.03693599491620092
1.146600000000002E-6,-1.874079248242751,-0.036935992993442024
1.4332500000000028E-6,-1.8740791684508618,-0.03693599075022335
1.7640000000000038E-6,-1.8740790763832975,-0.0369359881618941
2.1420000000000046E-6,-1.8740789711632235,-0.036935985203803534
2.570400000000006E-6,-1.874078851913806,-0.036935981851300884
3.052350000000007E-6,-1.8740787177582108,-0.036935978079735414
3.5910000000000085E-6,-1.8740785678196044,-0.03693597386445634
4.1895000000000105E-6,-1.8740784012211524,-0.03693596918081294
4.8510000000000125E-6,-1.874078217086021,-0.036935964004154456
5.578650000000015E-6,-1.8740780145373752,-0.036935958309830104
6.375600000000017E-6,-1.8740777926983827,-0.03693595207318917
7.24500000000002E-6,-1.8740775506922072,-0.03693594526958086
8.190000000000025E-6,-1.874077287642016,-0.03693593787435446
9.213750000000028E-6,-1.8740770026709745,-0.03693592986285921
1.0319400000000032E-5,-1.8740766949022487,-0.03693592121044433
1.1510100000000036E-5,-1.8740763634590032,-0.036935911892459074
1.2789000000000041E-5,-1.874076007464405,-0.03693590188425271
1.4159250000000046E-5,-1.874075626041619,-0.03693589116117446
1.5624000000000052E-5,-1.874075218313811,-0.03693587969857359
1.7186400000000056E-5,-1.8740747834041467,-0.03693586747179934
1.8849600000000064E-5,-1.874074320435791,-0.036935854456200956
2.0616750000000073E-5,-1.87407382853191,-0.03693584062712769
2.249100000000008E-5,-1.874073306815669,-0.03693582595992879
2.4475500000000088E-5,-1.8740727544102325,-0.03693581042995348
2.6573400000000097E-5,-1.8740721704387673,-0.036935794012551065
2.8787850000000104E-5,-1.8740715540244366,-0.036935776683070735
3.112200000000011E-5,-1.8740709042904073,-0.03693575841686179
3.357900000000013E-5,-1.8740702203598434,-0.036935739189273425
3.616200000000014E-5,-1.87406950135591,-0.036935718975654945
3.887415000000015E-5,-1.8740687464017725,-0.03693569775135557
4.171860000000016E-5,-1.8740679546205952,-0.036935675491724565
4.4698500000000175E-5,-1.8740671251355423,-0.03693565217211117
4.781700000000019E-5,-1.874066257069779,-0.03693562776786464
5.1077250000000206E-5,-1.87406534954647,-0.03693560225433424
5.448240000000022E-5,-1.8740644016887789,-0.03693557560686919
5.803560000000024E-5,-1.8740634126198696,-0.036935547800818765
6.174000000000026E-5,-1.8740623814629078,-0.03693551881153224
6.559875000000027E-5,-1.8740613073410561,-0.03693548861435884
6.96150000000003E-5,-1.8740601893774789,-0.03693545718464783
7.379190000000032E-5,-1.8740590266953396,-0.03693542449774846
7.813260000000034E-5,-1.874057818417802,-0.03693539052900999
8.264025000000036E-5,-1.8740565636680295,-0.036935355253781686
8.73180000000004E-5,-1.8740552615691854,-0.036935318647412785
9.216900000000042E-5,-1.874053911244433,-0.03693528068525257
9.719640000000046E-5,-1.8740525118169347,-0.03693524134265029
1.0240335000000047E-4,-1.8740510624098536,-0.0369352005949552
1.077930000000005E-4,-1.8740495621463527,-0.03693515841751658
1.1336850000000053E-4,-1.8740480101495942,-0.03693511478568367
1.1913300000000055E-4,-1.8740464055427393,-0.03693506967480573
1.250896500000006E-4,-1.8740447474489512,-0.036935023060232046
1.3124160000000062E-4,-1.8740430349913917,-0.03693497491731186
