.HEADER
..NAMES
Time,u1/v,u2/i
..UNITS
s,Voltage(V),Current(A)
..DATATYPES
double,double,double
..WAVEFORM_TYPES
-,analog,analog
..AXIS_SPACING
linear
.DATA
0.0,-9.999780004837694,-9.999780104837695E-7
4.500000000000001E-9,-9.99977999583789,-9.999780095837892E-7
1.35E-8,-9.999779977838289,-9.99978007783829E-7
3.1500000000000004E-8,-9.999779941839078,-9.999780041839078E-7
6.300000000000002E-8,-9.999779878840465,-9.999779978840465E-7
1.1025000000000006E-7,-9.999779784342545,-9.999779884342545E-7
1.7640000000000012E-7,-9.999779652045454,-9.999779752045453E-7
2.646000000000003E-7,-9.999779475649335,-9.999779575649334E-7
3.780000000000005E-7,-9.999779248854326,-9.999779348854327E-7
5.197500000000007E-7,-9.999778965360564,-9.999779065360563E-7
6.93000000000001E-7,-9.999778618868184,-9.999778718868183E-7
9.009000000000015E-7,-9.999778203077332,-9.99977830307733E-7
1.146600000000002E-6,-9.999777711688141,-9.999777811688142E-7
1.4332500000000028E-6,-9.999777138400754,-9.999777238400756E-7
1.7640000000000038E-6,-9.999776476915308,-9.999776576915307E-7
2.1420000000000046E-6,-9.99977572093194,-9.999775820931941E-7
2.570400000000006E-6,-9.99977486415079,-9.999774964150788E-7
3.052350000000007E-6,-9.999773900271995,-9.999774000271996E-7
3.5910000000000085E-6,-9.999772822995693,-9.999772922995693E-7
4.1895000000000105E-6,-9.999771626022026,-9.999771726022027E-7
4.8510000000000125E-6,-9.999770303051132,-9.999770403051132E-7
5.578650000000015E-6,-9.999768847783148,-9.999768947783149E-7
6.375600000000017E-6,-9.999767253918215,-9.999767353918213E-7
7.24500000000002E-6,-9.999765515156465,-9.999765615156467E-7
8.190000000000025E-6,-9.999763625198044,-9.999763725198042E-7
9.213750000000028E-6,-9.99976157774309,-9.999761677743092E-7
1.0319400000000032E-5,-9.99975936649174,-9.999759466491738E-7
1.1510100000000036E-5,-9.999756985144126,-9.999757085144126E-7
1.2789000000000041E-5,-9.999754427400399,-9.999754527400398E-7
1.4159250000000046E-5,-9.999751686960687,-9.999751786960687E-7
1.5624000000000052E-5,-9.999748757525134,-9.999748857525136E-7
1.7186400000000056E-5,-9.99974563279388,-9.999745732793878E-7
1.8849600000000064E-5,-9.999742306467057,-9.99974240646706E-7
2.0616750000000073E-5,-9.999738772244811,-9.999738872244813E-7
2.249100000000008E-5,-9.999735023827277,-9.999735123827276E-7
2.4475500000000088E-5,-9.999731054914593,-9.999731154914593E-7
2.6573400000000097E-5,-9.999726859206898,-9.9997269592069E-7
2.8787850000000104E-5,-9.99972243040433,-9.99972253040433E-7
3.112200000000011E-5,-9.999717762207032,-9.999717862207034E-7
3.357900000000013E-5,-9.999712848315136,-9.999712948315138E-7
3.616200000000014E-5,-9.999707682428784,-9.999707782428785E-7
3.887415000000015E-5,-9.999702258248117,-9.999702358248118E-7
4.171860000000016E-5,-9.99969656947327,-9.99969666947327E-7
4.4698500000000175E-5,-9.999690609804384,-9.999690709804385E-7
4.781700000000019E-5,-9.999684372941594,-9.999684472941597E-7
5.1077250000000206E-5,-9.999677852585044,-9.999677952585046E-7
5.448240000000022E-5,-9.999671042434867,-9.999671142434867E-7
5.803560000000024E-5,-9.999663936191203,-9.999664036191203E-7
6.174000000000026E-5,-9.999656527554194,-9.999656627554195E-7
6.559875000000027E-5,-9.999648810223976,-9.999648910223974E-7
6.96150000000003E-5,-9.999640777900687,-9.999640877900687E-7
7.379190000000032E-5,-9.999632424284465,-9.999632524284465E-7
7.813260000000034E-5,-9.999623743075452,-9.999623843075453E-7
8.264025000000036E-5,-9.999614727973785,-9.999614827973786E-7
8.73180000000004E-5,-9.9996053726796,-9.9996054726796E-7
9.216900000000042E-5,-9.99959567089304,-9.999595770893041E-7
9.719640000000046E-5,-9.99958561631424,-9.99958571631424E-7
1.0240335000000047E-4,-9.99957520264334,-9.99957530264334E-7
1.077930000000005E-4,-9.999564423580482,-9.999564523580482E-7
1.1336850000000053E-4,-9.9995532728258,-9.9995533728258E-7
