.HEADER
..NAMES
Time,u1/v,u2/i
..UNITS
s,Voltage(V),Current(A)
..DATATYPES
double,double,double
..WAVEFORM_TYPES
-,analog,analog
..AXIS_SPACING
linear
.DATA
0.0,-3.282627983986868,-0.03053350916369605
4.500000000000001E-9,-3.282627983961995,-0.030533509122900013
1.35E-8,-3.2826279839120636,-0.030533509041308807
3.1500000000000004E-8,-3.282627983812069,-0.03053350887812695
6.300000000000002E-8,-3.282627983637078,-0.030533508592558736
1.1025000000000006E-7,-3.282627983374592,-0.030533508164206406
1.7640000000000012E-7,-3.282627983007111,-0.03053350756451313
2.646000000000003E-7,-3.2826279825171367,-0.030533506764922103
3.780000000000005E-7,-3.282627981887169,-0.030533505736876507
5.197500000000007E-7,-3.28262798109971,-0.0305335044518195
6.93000000000001E-7,-3.28262798013726,-0.03053350288119427
9.009000000000015E-7,-3.28262797898232,-0.030533500996444
1.146600000000002E-6,-3.2826279776173903,-0.030533498769011853
1.4332500000000028E-6,-3.2826279760249726,-0.03053349617034103
1.7640000000000038E-6,-3.2826279741875672,-0.03053349317187469
2.1420000000000046E-6,-3.2826279720876754,-0.03053348974505602
2.570400000000006E-6,-3.282627969707798,-0.030533485861328195
3.052350000000007E-6,-3.2826279670304346,-0.030533481492134393
3.5910000000000085E-6,-3.2826279640380873,-0.03053347660891778
4.1895000000000105E-6,-3.2826279607132567,-0.03053347118312156
4.8510000000000125E-6,-3.282627957038443,-0.030533465186188897
5.578650000000015E-6,-3.282627952996147,-0.030533458589562964
6.375600000000017E-6,-3.2826279485688694,-0.030533451364686954
7.24500000000002E-6,-3.282627943739111,-0.030533443483004036
8.190000000000025E-6,-3.282627938489372,-0.030533434915957395
9.213750000000028E-6,-3.2826279328021535,-0.030533425634990216
1.0319400000000032E-5,-3.282627926659955,-0.030533415611545663
1.1510100000000036E-5,-3.282627920045278,-0.030533404817066914
1.2789000000000041E-5,-3.282627912940622,-0.030533393222997182
1.4159250000000046E-5,-3.282627905328488,-0.030533380800779598
1.5624000000000052E-5,-3.282627897191375,-0.030533367521857393
1.7186400000000056E-5,-3.2826278885117848,-0.030533353357673713
1.8849600000000064E-5,-3.282627879272216,-0.030533338279671744
2.0616750000000073E-5,-3.2826278694551694,-0.030533322259294688
2.249100000000008E-5,-3.282627859043145,-0.03053330526798571
2.4475500000000088E-5,-3.2826278480186417,-0.030533287277187987
2.6573400000000097E-5,-3.28262783636416,-0.03053326825834473
2.8787850000000104E-5,-3.282627824062199,-0.030533248182899087
3.112200000000011E-5,-3.2826278110952587,-0.030533227022294288
3.357900000000013E-5,-3.282627797445838,-0.030533204747973462
3.616200000000014E-5,-3.2826277830964363,-0.030533181331379826
3.887415000000015E-5,-3.282627768029553,-0.030533156743956572
4.171860000000016E-5,-3.2826277522276865,-0.030533130957146874
4.4698500000000175E-5,-3.282627735673336,-0.030533103942393926
4.781700000000019E-5,-3.282627718349,-0.030533075671140907
5.1077250000000206E-5,-3.2826277002371773,-0.030533046114831017
5.448240000000022E-5,-3.2826276813203656,-0.03053301524490743
5.803560000000024E-5,-3.282627661581064,-0.030532983032813342
6.174000000000026E-5,-3.2826276410017696,-0.03053294944999196
6.559875000000027E-5,-3.282627619564981,-0.03053291446788645
6.96150000000003E-5,-3.282627597253195,-0.030532878057940034
7.379190000000032E-5,-3.2826275740489095,-0.030532840191595863
7.813260000000034E-5,-3.2826275499346216,-0.030532800840297164
8.264025000000036E-5,-3.2826275248928285,-0.030532759975487146
8.73180000000004E-5,-3.2826274989060265,-0.030532717568608966
9.216900000000042E-5,-3.2826274719567126,-0.030532673591105848
9.719640000000046E-5,-3.2826274440273826,-0.030532628014420984
1.0240335000000047E-4,-3.282627415100533,-0.030532580809997573
1.077930000000005E-4,-3.2826273851586585,-0.030532531949278827
1.1336850000000053E-4,-3.282627354184256,-0.030532481403707935
1.1913300000000055E-4,-3.2826273221598194,-0.03053242914472809
1.250896500000006E-4,-3.2826272890678445,-0.030532375143782525
1.3124160000000062E-4,-3.282627254890826,-0.030532319372314428
