#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41F6B
#Date Time: 2024-01-30 16:48:20.147
#Sample rate: 4000Hz
#Samples: 7111
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 400 mV Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 400 mV Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C2 * ( 0.0010067)

#Wavegen Channel 1: Running
#Mode: Simple
#Type: RampUp
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-1.00025,-4.549462484293531,-0.009910652077672388,-9.977053446592793e-06
-1,-4.545811502732999,-0.009910652077672388,-9.977053446592793e-06
-0.99975,-4.545811502732999,-0.009910652077672388,-9.977053446592793e-06
-0.9994999999999999,-4.542160521172468,-0.009910652077672388,-9.977053446592793e-06
-0.99925,-4.538509539611937,-0.009910652077672388,-9.977053446592793e-06
-0.999,-4.538509539611937,-0.009910652077672388,-9.977053446592793e-06
-0.99875,-4.534858558051405,-0.009910652077672388,-9.977053446592793e-06
-0.9984999999999999,-4.531207576490874,-0.006243562753014131,-6.285394623459325e-06
-0.99825,-4.531207576490874,-0.009910652077672388,-9.977053446592793e-06
-0.998,-4.527556594930342,-0.006243562753014131,-6.285394623459325e-06
-0.99775,-4.523905613369811,-0.006243562753014131,-6.285394623459325e-06
-0.9974999999999999,-4.52025463180928,-0.009910652077672388,-9.977053446592793e-06
-0.99725,-4.516603650248748,-0.009910652077672388,-9.977053446592793e-06
-0.997,-4.516603650248748,-0.009910652077672388,-9.977053446592793e-06
-0.99675,-4.512952668688217,-0.009910652077672388,-9.977053446592793e-06
-0.9964999999999999,-4.509301687127685,-0.009910652077672388,-9.977053446592793e-06
-0.99625,-4.509301687127685,-0.009910652077672388,-9.977053446592793e-06
-0.996,-4.505650705567154,-0.009910652077672388,-9.977053446592793e-06
-0.99575,-4.501999724006623,-0.006243562753014131,-6.285394623459325e-06
-0.9954999999999999,-4.501999724006623,-0.009910652077672388,-9.977053446592793e-06
-0.99525,-4.498348742446091,-0.006243562753014131,-6.285394623459325e-06
-0.995,-4.498348742446091,-0.006243562753014131,-6.285394623459325e-06
-0.99475,-4.49469776088556,-0.006243562753014131,-6.285394623459325e-06
-0.9944999999999999,-4.491046779325028,-0.006243562753014131,-6.285394623459325e-06
-0.99425,-4.487395797764497,-0.009910652077672388,-9.977053446592793e-06
-0.994,-4.487395797764497,-0.009910652077672388,-9.977053446592793e-06
-0.99375,-4.483744816203966,-0.006243562753014131,-6.285394623459325e-06
-0.9934999999999999,-4.483744816203966,-0.006243562753014131,-6.285394623459325e-06
-0.99325,-4.480093834643434,-0.006243562753014131,-6.285394623459325e-06
-0.993,-4.476442853082903,-0.009910652077672388,-9.977053446592793e-06
-0.99275,-4.472791871522372,-0.009910652077672388,-9.977053446592793e-06
-0.9924999999999999,-4.472791871522372,-0.009910652077672388,-9.977053446592793e-06
-0.99225,-4.469140889961841,-0.009910652077672388,-9.977053446592793e-06
-0.992,-4.46548990840131,-0.009910652077672388,-9.977053446592793e-06
-0.99175,-4.461838926840778,-0.009910652077672388,-9.977053446592793e-06
-0.9914999999999999,-4.461838926840778,-0.009910652077672388,-9.977053446592793e-06
-0.99125,-4.458187945280247,-0.009910652077672388,-9.977053446592793e-06
-0.991,-4.454536963719715,-0.009910652077672388,-9.977053446592793e-06
-0.99075,-4.454536963719715,-0.009910652077672388,-9.977053446592793e-06
-0.9904999999999999,-4.450885982159184,-0.009910652077672388,-9.977053446592793e-06
-0.99025,-4.447235000598653,-0.009910652077672388,-9.977053446592793e-06
-0.99,-4.447235000598653,-0.009910652077672388,-9.977053446592793e-06
-0.98975,-4.443584019038121,-0.009910652077672388,-9.977053446592793e-06
-0.9894999999999999,-4.43993303747759,-0.009910652077672388,-9.977053446592793e-06
-0.98925,-4.43993303747759,-0.009910652077672388,-9.977053446592793e-06
-0.989,-4.436282055917058,-0.009910652077672388,-9.977053446592793e-06
-0.98875,-4.432631074356527,-0.009910652077672388,-9.977053446592793e-06
-0.9884999999999999,-4.428980092795996,-0.009910652077672388,-9.977053446592793e-06
-0.98825,-4.428980092795996,-0.009910652077672388,-9.977053446592793e-06
-0.988,-4.425329111235464,-0.009910652077672388,-9.977053446592793e-06
-0.98775,-4.425329111235464,-0.009910652077672388,-9.977053446592793e-06
-0.9874999999999999,-4.421678129674933,-0.009910652077672388,-9.977053446592793e-06
-0.98725,-4.418027148114401,-0.009910652077672388,-9.977053446592793e-06
-0.987,-4.41437616655387,-0.009910652077672388,-9.977053446592793e-06
