#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A41F6B,,,
#Date Time: 2024-01-30 16:41:02.182,,,
#Sample rate: 4000Hz,,,
#Samples: 8000,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.2 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 1 V/div Offset: 50 mV Attenuation: 1 X Sample Mode: Average,,,
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,,
#Math 1: Function: C2 * ( 0.0010067),,,
,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: RampUp,,,
#Frequency: 1 Hz,,,
#Period: 1 s,,,
#Amplitude: 5 V,,,
#Offset: 0 V,,,
#Symmetry: 100 %,,,
#Phase: 0 °,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
0.00275,-2.636487758,-2.414633953,-0.000518533
0.003,-2.632836777,-2.410966863,-0.000518533
0.00325,-2.632836777,-2.407299774,-0.000514841
0.0035,-2.632836777,-2.407299774,-0.000514841
0.00375,-2.632836777,-2.403632685,-0.000511149
0.004,-2.632836777,-2.399965596,-0.000511149
0.00425,-2.632836777,-2.399965596,-0.000511149
0.0045,-2.632836777,-2.399965596,-0.000507458
0.00475,-2.632836777,-2.396298506,-0.000507458
0.005,-2.629185795,-2.392631417,-0.000503766
0.00525,-2.629185795,-2.388964328,-0.000503766
0.0055,-2.629185795,-2.388964328,-0.000500074
0.00575,-2.629185795,-2.388964328,-0.000500074
0.006,-2.629185795,-2.385297238,-0.000496383
0.00625,-2.629185795,-2.381630149,-0.000496383
0.0065,-2.629185795,-2.381630149,-0.000496383
0.00675,-2.629185795,-2.37796306,-0.000496383
0.007,-2.625534814,-2.37429597,-0.000492691
0.00725,-2.629185795,-2.370628881,-0.000492691
0.0075,-2.629185795,-2.370628881,-0.000488999
0.00775,-2.625534814,-2.366961792,-0.000488999
0.008,-2.625534814,-2.366961792,-0.000485308
0.00825,-2.625534814,-2.363294702,-0.000485308
0.0085,-2.625534814,-2.363294702,-0.000481616
0.00875,-2.625534814,-2.359627613,-0.000481616
0.009,-2.625534814,-2.355960524,-0.000481616
0.00925,-2.625534814,-2.355960524,-0.000477924
0.0095,-2.625534814,-2.352293434,-0.000477924
0.00975,-2.625534814,-2.348626345,-0.000474233
0.01,-2.621883832,-2.348626345,-0.000474233
0.01025,-2.621883832,-2.344959256,-0.000470541
0.0105,-2.621883832,-2.341292166,-0.000470541
0.01075,-2.621883832,-2.341292166,-0.00046685
0.011,-2.621883832,-2.341292166,-0.00046685
0.01125,-2.621883832,-2.337625077,-0.00046685
0.0115,-2.621883832,-2.333957988,-0.000463158
0.01175,-2.621883832,-2.333957988,-0.000463158
0.012,-2.621883832,-2.330290898,-0.000459466
0.01225,-2.621883832,-2.330290898,-0.000459466
0.0125,-2.621883832,-2.330290898,-0.000459466
0.01275,-2.621883832,-2.326623809,-0.000455775
0.013,-2.618232851,-2.326623809,-0.000452083
0.01325,-2.618232851,-2.32295672,-0.000452083
0.0135,-2.618232851,-2.31928963,-0.000452083
0.01375,-2.618232851,-2.31928963,-0.000448391
0.014,-2.618232851,-2.315622541,-0.000448391
0.01425,-2.618232851,-2.311955452,-0.000448391
0.0145,-2.618232851,-2.311955452,-0.0004447
0.01475,-2.618232851,-2.308288362,-0.000441008
0.015,-2.618232851,-2.308288362,-0.000441008
0.01525,-2.618232851,-2.304621273,-0.000441008
0.0155,-2.618232851,-2.304621273,-0.000437316
0.01575,-2.618232851,-2.300954184,-0.000437316
0.016,-2.618232851,-2.297287094,-0.000433625
0.01625,-2.614581869,-2.297287094,-0.000433625
0.0165,-2.614581869,-2.293620005,-0.000433625
0.01675,-2.614581869,-2.289952916,-0.000429933
0.017,-2.614581869,-2.289952916,-0.000429933
0.01725,-2.614581869,-2.286285826,-0.000429933
