#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A41F6B,,,
#Date Time: 2024-01-30 16:48:20.147,,,
#Sample rate: 4000Hz,,,
#Samples: 7111,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.2 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 1 V/div Offset: 400 mV Attenuation: 1 X Sample Mode: Average,,,
#Channel 2: Range: 1 V/div Offset: 400 mV Attenuation: 1 X Sample Mode: Average,,,
#Math 1: Function: C2 * ( 0.0010067),,,
,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: RampUp,,,
#Frequency: 1 Hz,,,
#Period: 1 s,,,
#Amplitude: 5 V,,,
#Offset: 0 V,,,
#Symmetry: 100 %,,,
#Phase: 0 °,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.04975,-5.060599903,-0.013577741,-1.37E-05
-0.0495,-5.042344995,-0.009910652,-9.98E-06
-0.04925,-5.038694013,-0.009910652,-9.98E-06
-0.049,-5.038694013,-0.009910652,-9.98E-06
-0.04875,-5.035043032,-0.009910652,-9.98E-06
-0.0485,-5.03139205,-0.009910652,-9.98E-06
-0.04825,-5.027741069,-0.009910652,-9.98E-06
-0.048,-5.027741069,-0.009910652,-9.98E-06
-0.04775,-5.024090087,-0.009910652,-9.98E-06
-0.0475,-5.020439106,-0.009910652,-9.98E-06
-0.04725,-5.020439106,-0.009910652,-9.98E-06
-0.047,-5.016788124,-0.009910652,-9.98E-06
-0.04675,-5.013137142,-0.009910652,-9.98E-06
-0.0465,-5.013137142,-0.009910652,-9.98E-06
-0.04625,-5.009486161,-0.009910652,-9.98E-06
-0.046,-5.005835179,-0.009910652,-9.98E-06
-0.04575,-5.005835179,-0.009910652,-9.98E-06
-0.0455,-5.002184198,-0.009910652,-9.98E-06
-0.04525,-4.998533216,-0.009910652,-9.98E-06
-0.045,-4.994882235,-0.009910652,-9.98E-06
-0.04475,-4.994882235,-0.009910652,-9.98E-06
-0.0445,-4.991231253,-0.009910652,-9.98E-06
-0.04425,-4.991231253,-0.009910652,-9.98E-06
-0.044,-4.987580272,-0.009910652,-9.98E-06
-0.04375,-4.98392929,-0.009910652,-9.98E-06
-0.0435,-4.98392929,-0.009910652,-9.98E-06
-0.04325,-4.980278308,-0.009910652,-9.98E-06
-0.043,-4.976627327,-0.009910652,-9.98E-06
-0.04275,-4.972976345,-0.009910652,-9.98E-06
