#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A41F6B,,,
#Date Time: 2024-01-30 16:43:38.062,,,
#Sample rate: 4000Hz,,,
#Samples: 8000,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.2 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 1 V/div Offset: 50 mV Attenuation: 1 X Sample Mode: Average,,,
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,,
#Math 1: Function: C2 * ( 0.0010067),,,
,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: RampUp,,,
#Frequency: 1 Hz,,,
#Period: 1 s,,,
#Amplitude: 5 V,,,
#Offset: 0 V,,,
#Symmetry: 100 %,,,
#Phase: 0 °,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.8765,-5.046135588,-0.005356267,0.001002431
-0.87625,-5.042484607,-0.005356267,0.001002431
-0.876,-5.038833625,-0.005356267,0.001006122
-0.87575,-5.038833625,-0.005356267,0.001006122
-0.8755,-5.035182644,-0.005356267,0.001009814
-0.87525,-5.031531662,-0.005356267,0.001013506
-0.875,-5.027880681,-0.005356267,0.001017197
-0.87475,-5.027880681,-0.005356267,0.001017197
-0.8745,-5.024229699,-0.005356267,0.001020889
-0.87425,-5.020578717,-0.005356267,0.001024581
-0.874,-5.020578717,-0.005356267,0.001024581
-0.87375,-5.016927736,-0.005356267,0.001028272
-0.8735,-5.013276754,-0.005356267,0.001028272
-0.87325,-5.013276754,-0.005356267,0.001031964
-0.873,-5.009625773,-0.005356267,0.001035656
-0.87275,-5.005974791,-0.005356267,0.001035656
-0.8725,-5.005974791,-0.005356267,0.001039347
-0.87225,-5.00232381,-0.005356267,0.001043039
-0.872,-5.00232381,-0.005356267,0.001046731
-0.87175,-4.998672828,-0.005356267,0.001046731
-0.8715,-4.995021847,-0.005356267,0.001050422
-0.87125,-4.991370865,-0.005356267,0.001054114
-0.871,-4.987719883,-0.005356267,0.001054114
-0.87075,-4.984068902,-0.005356267,0.001057806
-0.8705,-4.984068902,-0.005356267,0.001061497
-0.87025,-4.98041792,-0.005356267,0.001061497
-0.87,-4.976766939,-0.005356267,0.001065189
-0.86975,-4.973115957,-0.005356267,0.001065189
-0.8695,-4.973115957,-0.005356267,0.001068881
-0.86925,-4.969464976,-0.005356267,0.001072572
-0.869,-4.969464976,-0.005356267,0.001072572
-0.86875,-4.965813994,-0.005356267,0.001076264
-0.8685,-4.962163012,-0.005356267,0.001076264
-0.86825,-4.958512031,-0.005356267,0.001079956
-0.868,-4.958512031,-0.005356267,0.001083647
-0.86775,-4.954861049,-0.005356267,0.001083647
-0.8675,-4.951210068,-0.005356267,0.001087339
-0.86725,-4.947559086,-0.005356267,0.001087339
-0.867,-4.947559086,-0.005356267,0.001091031
-0.86675,-4.947559086,-0.005356267,0.001091031
-0.8665,-4.940257123,-0.005356267,0.001094722
-0.86625,-4.940257123,-0.005356267,0.001098414
-0.866,-4.936606142,-0.005356267,0.001102105
-0.86575,-4.93295516,-0.005356267,0.001102105
-0.8655,-4.929304178,-0.005356267,0.001105797
-0.86525,-4.929304178,-0.005356267,0.001105797
-0.865,-4.925653197,-0.005356267,0.001109489
-0.86475,-4.925653197,-0.005356267,0.00111318
-0.8645,-4.922002215,-0.005356267,0.00111318
