#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A41F6B,,,
#Date Time: 2024-01-30 16:45:26.651,,,
#Sample rate: 4000Hz,,,
#Samples: 7978,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.2 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 1 V/div Offset: 50 mV Attenuation: 1 X Sample Mode: Average,,,
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,,
#Math 1: Function: C2 * ( 0.0010067),,,
,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: RampUp,,,
#Frequency: 1 Hz,,,
#Period: 1 s,,,
#Amplitude: 5 V,,,
#Offset: 0 V,,,
#Symmetry: 100 %,,,
#Phase: 0 °,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.4695,-5.042484607,-0.005356267,-5.39E-06
-0.46925,-5.042484607,-0.005356267,-5.39E-06
-0.469,-5.038833625,-0.005356267,-5.39E-06
-0.46875,-5.038833625,-0.005356267,-5.39E-06
-0.4685,-5.035182644,-0.005356267,-5.39E-06
-0.46825,-5.031531662,-0.005356267,-5.39E-06
-0.468,-5.031531662,-0.005356267,-5.39E-06
-0.46775,-5.027880681,-0.005356267,-5.39E-06
-0.4675,-5.024229699,-0.005356267,-5.39E-06
-0.46725,-5.020578717,-0.005356267,-5.39E-06
-0.467,-5.020578717,-0.005356267,-5.39E-06
-0.46675,-5.016927736,-0.005356267,-5.39E-06
-0.4665,-5.013276754,-0.005356267,-5.39E-06
-0.46625,-5.013276754,-0.005356267,-5.39E-06
-0.466,-5.009625773,-0.005356267,-5.39E-06
-0.46575,-5.005974791,-0.005356267,-5.39E-06
-0.4655,-5.00232381,-0.005356267,-5.39E-06
-0.46525,-5.00232381,-0.005356267,-5.39E-06
-0.465,-4.998672828,-0.005356267,-5.39E-06
-0.46475,-4.995021847,-0.005356267,-5.39E-06
