#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A41F6B,,,
#Date Time: 2024-01-30 16:48:47.296,,,
#Sample rate: 4000Hz,,,
#Samples: 7337,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.2 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 1 V/div Offset: 400 mV Attenuation: 1 X Sample Mode: Average,,,
#Channel 2: Range: 1 V/div Offset: 400 mV Attenuation: 1 X Sample Mode: Average,,,
#Math 1: Function: C2 * ( 0.0010067),,,
,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: RampUp,,,
#Frequency: 1 Hz,,,
#Period: 1 s,,,
#Amplitude: 5 V,,,
#Offset: 0 V,,,
#Symmetry: 100 %,,,
#Phase: 0 °,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.57175,-5.045995977,-0.009910652,-9.98E-06
-0.5715,-5.038694013,-0.009910652,-9.98E-06
-0.57125,-5.038694013,-0.009910652,-9.98E-06
-0.571,-5.035043032,-0.009910652,-9.98E-06
-0.57075,-5.035043032,-0.009910652,-9.98E-06
-0.5705,-5.03139205,-0.009910652,-9.98E-06
-0.57025,-5.027741069,-0.009910652,-9.98E-06
-0.57,-5.027741069,-0.009910652,-9.98E-06
-0.56975,-5.024090087,-0.009910652,-9.98E-06
-0.5695,-5.020439106,-0.009910652,-9.98E-06
-0.56925,-5.020439106,-0.009910652,-9.98E-06
-0.569,-5.016788124,-0.009910652,-9.98E-06
-0.56875,-5.013137142,-0.009910652,-9.98E-06
-0.5685,-5.009486161,-0.009910652,-9.98E-06
-0.56825,-5.005835179,-0.009910652,-9.98E-06
-0.568,-5.005835179,-0.009910652,-9.98E-06
-0.56775,-5.002184198,-0.009910652,-9.98E-06
-0.5675,-5.002184198,-0.009910652,-9.98E-06
-0.56725,-4.998533216,-0.009910652,-9.98E-06
-0.567,-4.994882235,-0.009910652,-9.98E-06
-0.56675,-4.994882235,-0.009910652,-9.98E-06
-0.5665,-4.991231253,-0.009910652,-9.98E-06
-0.56625,-4.987580272,-0.009910652,-9.98E-06
-0.566,-4.98392929,-0.009910652,-9.98E-06
-0.56575,-4.98392929,-0.009910652,-9.98E-06
-0.5655,-4.980278308,-0.009910652,-9.98E-06
-0.56525,-4.976627327,-0.009910652,-9.98E-06
-0.565,-4.976627327,-0.009910652,-9.98E-06
-0.56475,-4.972976345,-0.009910652,-9.98E-06
-0.5645,-4.972976345,-0.009910652,-9.98E-06
-0.56425,-4.969325364,-0.009910652,-9.98E-06
-0.564,-4.965674382,-0.009910652,-9.98E-06
-0.56375,-4.962023401,-0.009910652,-9.98E-06
-0.5635,-4.962023401,-0.009910652,-9.98E-06
