Time (s),Channel 1 (V),Channel 2 (V)
-0.00257985,-0.0334645009474265,-0.4139325626166235
-0.00257922,-0.03412824624501451,-0.4780082942128476
-0.00257859,-0.03446011889380898,-0.4359585953528356
-0.00257796,-0.03446011889380898,-0.4352911398154007
-0.00257733,-0.03446011889380898,-0.4926923160370182
-0.0025767,-0.03479199154260314,-0.5257313651413363
-0.00257607,-0.03545573684019115,-0.5110473433172016
-0.00257544,-0.03578760948898562,-0.5003680547178193
-0.00257481,-0.03545573684019146,-0.5400816591967472
-0.00257418,-0.03578760948898547,-0.5487585811837358
-0.00257355,-0.03645135478657394,-0.5787940803694835
-0.00257292,-0.0367832274353681,-0.5597715975518255
-0.00257229,-0.0367832274353681,-0.5150520765419607
-0.00257166,-0.0367832274353681,-0.568114791770108
-0.00257103,-0.03744697273295612,-0.5424177535778709
-0.0025704,-0.0367832274353681,-0.5651112418515336
-0.00256977,-0.03711510008416226,-0.5751230749134482
-0.00256914,-0.03711510008416226,-0.5734544360697965
-0.00256851,-0.03744697273295642,-0.5631088752391508
-0.00256788,-0.03777884538175088,-0.5564343198645619
-0.00256725,-0.0384425906793389,-0.602488751949348
-0.00256662,-0.03910633597692722,-0.5988177464933127
-0.00256599,-0.03910633597692722,-0.6128343127800057
-0.00256536,-0.03910633597692722,-0.6405337175846234
-0.00256473,-0.03943820862572138,-0.6488769118028855
-0.0025641,-0.0401019539233094,-0.6281857901416049
-0.00256347,-0.04043382657210386,-0.6729053111514806
-0.00256284,-0.04043382657210371,-0.6121668572425437
-0.00256221,-0.0401019539233097,-0.6375301676660491
-0.00256158,-0.04043382657210386,-0.6365289843598576
-0.00256095,-0.04076569922089802,-0.5981502909558761
-0.00256032,-0.04076569922089802,-0.65188046172146
-0.00255969,-0.04109757186969219,-0.6385313509722406
-0.00255906,-0.04109757186969219,-0.6652295724706673
-0.00255843,-0.0417613171672805,-0.6028224797180786
-0.0025578,-0.04242506246486882,-0.6014875686431566
-0.00255717,-0.04242506246486882,-0.6371964398973186
-0.00255654,-0.04209318981607466,-0.700604715956111
-0.00255591,-0.04242506246486912,-0.6432035397344715
-0.00255528,-0.04308880776245715,-0.6525479172589209
-0.00255465,-0.04342068041125131,-0.6505455506465381
-0.00255402,-0.04408442570883933,-0.7249668430734025
-0.00255339,-0.04408442570883963,-0.6819159609072037
-0.00255276,-0.04375255306004547,-0.7269692096858194
-0.00255213,-0.04441629835763378,-0.7586733477152154
-0.0025515,-0.04474817100642794,-0.7529999756467972
-0.00255087,-0.0450800436552224,-0.7696863640833249
-0.00255024,-0.04574378895281043,-0.7773621027641227
-0.00254961,-0.04607566160160459,-0.792713580125725
-0.00254898,-0.0464075342503986,-0.7316413984480739
-0.00254835,-0.04640753425039875,-0.7373147705164643
-0.00254772,-0.04640753425039875,-0.73431122059789
-0.00254709,-0.04574378895281073,-0.7927135801256985
-0.00254646,-0.0467394068991929,-0.792713580125725
-0.00254583,-0.04740315219678123,-0.7556697977966195
-0.0025452,-0.04740315219678123,-0.7079467268681816
-0.00254457,-0.04707127954798707,-0.7423206870474216
-0.00254394,-0.04673940689919306,-0.7570047088715564
-0.00254331,-0.04740315219678123,-0.7556697977966411
-0.00254268,-0.04839877014316371,-0.7479940591158399
-0.00254205,-0.04873064279195772,-0.7817005637576037
-0.00254142,-0.04839877014316371,-0.7973857688879519
-0.00254079,-0.04839877014316401,-0.7806993804514184
-0.00254016,-0.04906251544075203,-0.7606757143275984
-0.00253953,-0.04939438808954619,-0.7640129920149032
-0.0025389,-0.04906251544075219,-0.7893763024384086
-0.00253827,-0.04939438808954619,-0.7476603313471094
-0.00253764,-0.04972626073834035,-0.7937147634319165
-0.00253701,-0.05039000603592837,-0.7786970138390515
-0.00253638,-0.05005813338713451,-0.8010567743439871
-0.00253575,-0.05105375133351715,-0.808732513024761
-0.00253512,-0.05138562398231115,-0.7486615146533009
-0.00253449,-0.05105375133351699,-0.805728963106214
-0.00253386,-0.05204936927989962,-0.8340958234483169
-0.00253323,-0.05238124192869363,-0.8597928616405527
-0.0025326,-0.05271311457748779,-0.8320934568359224
-0.00253197,-0.05238124192869378,-0.816741979474327
-0.00253134,-0.05238124192869363,-0.8124035184808237
-0.00253071,-0.05271311457748824,-0.8177431627805234
-0.00253008,-0.05370873252387028,-0.8437739287414894
-0.00252945,-0.05404060517266444,-0.8451088398164113
-0.00252882,-0.0543724778214589,-0.874143155695973
-0.00252819,-0.05503622311904691,-0.8948342773572537
-0.00252756,-0.05536809576784107,-0.8574567672594393
-0.00252693,-0.05503622311904707,-0.8254189014613272
-0.0025263,-0.05536809576784107,-0.8417715621291064
