Time1,Angle1,Time (s) Run #2,Angle (°) Run #2,Time (s) Run #3,Angle (°) Run #3,Time (s) Run #4,Angle (°) Run #4,Time5,Angle5,Time (s) Run #6,Angle (°) Run #6,Time (s) Run #7,Angle (°) Run #7,Time (s) Run #8,Angle (°) Run #8
4.33,39.06,4.33,1.08,4.33,7.74,4.33,-2.49E-17,4.33,2.79,,,4.33,3.96,4.33,0.27
4.34,39.06,4.34,0.99,4.34,7.74,4.34,-2.49E-17,4.34,2.79,,,4.34,4.05,4.34,-1.8
4.35,39.06,4.35,0.9,4.35,7.74,4.35,-2.49E-17,4.35,2.88,,,4.35,4.14,4.35,-0.9
4.32,38.88,4.32,1.08,4.32,7.74,4.32,-2.49E-17,4.32,2.7,,,4.32,3.87,4.32,2.34
4.36,38.88,4.36,0.81,4.36,7.74,4.36,-2.49E-17,4.36,2.88,,,4.36,4.23,4.36,-0.54
4.31,38.7,4.31,1.17,4.31,7.65,4.31,-2.49E-17,4.31,2.61,,,4.31,3.69,4.31,4.32
4.37,38.7,4.37,0.72,4.37,7.74,4.37,-2.49E-17,4.37,2.7,,,4.37,4.32,4.37,-0.63
4.3,38.34,4.3,1.26,4.3,7.56,4.3,-2.49E-17,4.3,2.52,,,4.3,3.6,4.3,6.39
4.38,38.34,4.38,0.63,4.38,7.65,4.38,-2.49E-17,4.38,2.88,,,4.38,4.41,4.38,-0.36
4.29,37.98,4.29,1.35,4.29,7.47,4.29,-2.49E-17,4.29,2.43,,,4.29,3.51,4.29,8.37
4.39,37.89,4.39,0.54,4.39,7.56,4.39,-2.49E-17,4.39,3.15,,,4.39,4.5,4.39,-0.63
4.28,37.44,4.28,1.44,4.28,7.38,4.28,-2.49E-17,4.28,2.34,,,4.28,3.42,4.28,10.35
4.4,37.35,4.4,0.45,4.4,7.47,4.4,-2.49E-17,4.4,3.33,,,4.4,4.5,4.4,-0.36
4.27,36.9,4.27,1.44,4.27,7.38,4.27,-2.49E-17,4.27,2.16,,,4.27,3.33,4.27,12.24
4.41,36.72,,,4.41,7.38,4.41,-2.49E-17,4.41,3.51,,,4.41,4.59,4.41,-0.45
4.26,36.18,4.26,1.53,4.26,7.11,4.26,-2.49E-17,4.26,2.07,,,4.26,3.24,4.26,14.13
4.42,36.09,,,4.42,7.2,4.42,-2.49E-17,4.42,3.69,,,4.42,4.68,4.42,-0.36
4.25,35.46,4.25,1.53,4.25,6.93,4.25,-2.49E-17,4.25,1.98,,,4.25,3.06,4.25,16.02
4.43,35.28,,,4.43,7.11,4.43,-2.49E-17,4.43,3.78,,,4.43,4.77,4.43,-0.54
4.24,34.65,4.24,1.62,4.24,6.84,4.24,-2.49E-17,4.24,1.71,,,4.24,2.88,4.24,17.91
4.44,34.38,,,4.44,6.84,4.44,-2.49E-17,4.44,3.96,,,4.44,4.77,4.44,-0.45
4.23,33.66,4.23,1.71,4.23,6.66,4.23,-2.49E-17,4.23,1.8,,,4.23,2.7,4.23,19.71
4.45,33.39,,,4.45,6.75,4.45,-2.49E-17,4.45,3.87,,,4.45,4.77,4.45,-0.45
4.22,32.67,4.22,1.71,4.22,6.39,4.22,-2.49E-17,4.22,1.98,,,4.22,2.52,4.22,21.42
4.46,32.4,,,4.46,6.48,4.46,-2.49E-17,4.46,3.87,,,4.46,4.77,4.46,-0.36
