Wavelength,Intensity
 177.185,    -58.21 
 177.571,    -58.21 
 177.957,    -58.21 
 178.343,     42.78 
 178.729,    -42.50 
 179.115,    -53.72 
 179.500,    -33.52 
 179.886,     71.96 
 180.272,     54.00 
 180.658,     29.32 
 181.043,     -8.84 
 181.429,     15.85 
 181.815,     -8.84 
 182.200,    -49.24 
 182.586,     60.74 
 182.972,    -17.81 
 183.357,     42.78 
 183.743,    -44.75 
 184.128,     24.83 
 184.513,     -6.59 
 184.899,      6.87 
 185.284,     -8.84 
 185.670,      0.14 
 186.055,   -109.83 
 186.440,    -35.77 
 186.825,     -4.35 
 187.210,    -62.70 
 187.596,     85.43 
 187.981,      9.12 
 188.366,    -15.57 
 188.751,     69.72 
 189.136,      2.38 
 189.521,     -6.59 
 189.906,      6.87 
 190.291,     11.36 
 190.676,     56.25 
 191.060,    -17.81 
 191.445,    -44.75 
 191.830,    -20.06 
 192.215,     20.34 
 192.599,    -17.81 
 192.984,    -42.50 
 193.369,    -44.75 
 193.753,      4.63 
 194.138,    -26.79 
 194.522,    -60.46 
 194.907,     15.85 
 195.291,     22.58 
 195.676,    -51.48 
 196.060,      2.38 
 196.445,    -13.33 
 196.829,    -42.50 
 197.213,     22.58 
 197.597,    -53.72 
 197.982,      6.87 
 198.366,    -64.95 
 198.750,    -20.06 
 199.134,    -20.06 
 199.518,     67.47 
 199.902,     -4.35 
 200.286,     -8.84 
 200.670,     56.25 
 201.054,     -8.84 
 201.438,     -2.10 
 201.822,      2.38 
 202.206,    -40.26 
 202.590,    -31.28 
 202.973,     11.36 
 203.357,    -73.92 
 203.741,    -49.24 
 204.124,      4.63 
 204.508,     27.07 
 204.892,     -2.10 
 205.275,      0.14 
 205.659,     24.83 
 206.042,     47.27 
 206.426,    -55.97 
 206.809,    -17.81 
 207.193,    -55.97 
 207.576,    -44.75 
 207.959,     22.58 
 208.342,    -35.77 
 208.726,    -71.68 
 209.109,    -24.55 
 209.492,    -26.79 
 209.875,      9.12 
 210.258,    -76.17 
 210.641,   -105.34 
 211.025,    -42.50 
 211.408,     22.58 
 211.790,     18.10 
 212.173,     20.34 
 212.556,    -22.30 
 212.939,    -44.75 
 213.322,     45.03 
 213.705,      2.38 
 214.088,    -33.52 
 214.470,      0.14 
 214.853,     15.85 
 215.236,    -60.46 
 215.618,      9.12 
 216.001,    -40.26 
 216.383,     31.56 
 216.766,    -31.28 
 217.148,     47.27 
 217.531,    -24.55 
 217.913,     38.29 
 218.296,   -103.10 
 218.678,    -11.08 
 219.060,     -4.35 
 219.443,    -17.81 
 219.825,    -40.26 
 220.207,    -20.06 
 220.589,      9.12 
 220.971,     40.54 
 221.353,     31.56 
 221.735,    -35.77 
 222.118,    -80.66 
 222.500,    -13.33 
 222.881,    -35.77 
 223.263,    -78.41 
 223.645,    -96.37 
 224.027,    -31.28 
 224.409,      2.38 
 224.791,     20.34 
 225.172,    -33.52 
 225.554,    -89.63 
 225.936,     38.29 
 226.317,     38.29 
 226.699,    -51.48 
 227.081,    -20.06 
 227.462,    -13.33 
 227.844,    -13.33 
 228.225,    -49.24 
 228.607,    -80.66 
 228.988,    -26.79 
 229.369,     65.23 
 229.751,     33.81 
 230.132,      2.38 
 230.513,     -4.35 
 230.894,    -24.55 
 231.276,     -2.10 
 231.657,     22.58 
 232.038,     22.58 
 232.419,    -29.04 
 232.800,    -49.24 
 233.181,     -2.10 
 233.562,     58.49 
 233.943,    -58.21 
 234.324,    -62.70 
 234.705,      6.87 
 235.085,     54.00 
 235.466,    -22.30 
 235.847,    -29.04 
 236.228,      4.63 
 236.608,     18.10 
 236.989,     62.98 
 237.370,     22.58 
 237.750,     36.05 
 238.131,     87.67 
 238.511,    -35.77 
 238.892,     54.00 
 239.272,     11.36 
 239.653,     -6.59 
 240.033,     13.61 
 240.413,     71.96 
 240.794,    -38.01 
 241.174,     22.58 
 241.554,    -22.30 
 241.934,      9.12 
 242.314,     33.81 
 242.694,    -24.55 
 243.075,     -2.10 
 243.455,    -62.70 
 243.835,     18.10 
 244.215,     33.81 
 244.595,    -40.26 
 244.974,   -130.03 
 245.354,     40.54 
