Wavelength,Intensity
 177.185,    -39.56 
 177.571,    -39.56 
 177.957,    -39.56 
 178.343,    -57.51 
 178.729,     43.48 
 179.115,    -46.29 
 179.500,     27.77 
 179.886,    -14.87 
 180.272,      3.09 
 180.658,     39.00 
 181.043,     -3.65 
 181.429,     -1.40 
 181.815,     12.06 
 182.200,     27.77 
 182.586,     30.02 
 182.972,     -3.65 
 183.357,     12.06 
 183.743,    -28.33 
 184.128,     54.71 
 184.513,     34.51 
 184.899,    -28.33 
 185.284,     50.22 
 185.670,     34.51 
 186.055,    -37.31 
 186.440,     -3.65 
 186.825,    -14.87 
 187.210,    -28.33 
 187.596,     -1.40 
 187.981,      7.57 
 188.366,      5.33 
 188.751,      7.57 
 189.136,    -21.60 
 189.521,    -21.60 
 189.906,     18.80 
 190.291,    -32.82 
 190.676,      7.57 
 191.060,    -46.29 
 191.445,      9.82 
 191.830,      3.09 
 192.215,      3.09 
 192.599,     -1.40 
 192.984,     18.80 
 193.369,     65.93 
 193.753,     30.02 
 194.138,     14.31 
 194.522,    -19.36 
 194.907,    -23.85 
 195.291,    -28.33 
 195.676,    -23.85 
 196.060,     39.00 
 196.445,     39.00 
 196.829,     41.24 
 197.213,    -37.31 
 197.597,     54.71 
 197.982,     -1.40 
 198.366,    -26.09 
 198.750,    -50.78 
 199.134,     30.02 
 199.518,     25.53 
 199.902,     34.51 
 200.286,    -41.80 
 200.670,     -8.14 
 201.054,    -64.24 
 201.438,    -64.24 
 201.822,     36.75 
 202.206,    -32.82 
 202.590,    -37.31 
 202.973,      7.57 
 203.357,     36.75 
 203.741,     14.31 
 204.124,    -37.31 
 204.508,    -35.07 
 204.892,     47.97 
 205.275,    -23.85 
 205.659,    -50.78 
 206.042,     18.80 
 206.426,    -82.20 
 206.809,      3.09 
 207.193,      7.57 
 207.576,    -19.36 
 207.959,     34.51 
 208.342,    -68.73 
 208.726,     12.06 
 209.109,    -28.33 
 209.492,      3.09 
 209.875,    -26.09 
 210.258,      0.84 
 210.641,     36.75 
 211.025,     -3.65 
 211.408,    -59.76 
 211.790,    -75.47 
 212.173,    -46.29 
 212.556,    -32.82 
 212.939,     14.31 
 213.322,    -50.78 
 213.705,    -19.36 
 214.088,    -41.80 
 214.470,    -14.87 
 214.853,    -21.60 
 215.236,    -21.60 
 215.618,    -50.78 
 216.001,    -57.51 
 216.383,    -14.87 
 216.766,     21.04 
 217.148,     52.46 
 217.531,     79.39 
 217.913,    -28.33 
 218.296,     61.44 
 218.678,      3.09 
 219.060,     -5.89 
 219.443,    -50.78 
 219.825,    -17.11 
 220.207,     -5.89 
 220.589,     21.04 
 220.971,    -53.02 
 221.353,     -3.65 
 221.735,    -64.24 
 222.118,     12.06 
 222.500,    -32.82 
 222.881,     30.02 
 223.263,    -12.62 
 223.645,     18.80 
 224.027,      0.84 
 224.409,     16.55 
 224.791,    -68.73 
 225.172,    -64.24 
 225.554,     30.02 
 225.936,     14.31 
 226.317,    -19.36 
 226.699,    -30.58 
 227.081,    -28.33 
 227.462,     -5.89 
 227.844,    -62.00 
 228.225,     54.71 
 228.607,    -55.27 
 228.988,      7.57 
 229.369,    -41.80 
 229.751,     56.95 
 230.132,    -53.02 
 230.513,     50.22 
 230.894,     -3.65 
 231.276,     45.73 
 231.657,     61.44 
 232.038,    -28.33 
 232.419,    -46.29 
 232.800,     39.00 
 233.181,    -28.33 
 233.562,     59.19 
 233.943,     12.06 
 234.324,     43.48 
 234.705,    -39.56 
 235.085,    -10.38 
 235.466,     23.29 
 235.847,    -32.82 
 236.228,     50.22 
 236.608,     54.71 
 236.989,     41.24 
 237.370,     14.31 
 237.750,   -102.40 
 238.131,     16.55 
 238.511,    -41.80 
 238.892,      7.57 
 239.272,    -41.80 
 239.653,      9.82 
 240.033,    -26.09 
 240.413,    -35.07 
 240.794,    -21.60 
 241.174,     -8.14 
 241.554,    -28.33 
 241.934,    -44.05 
 242.314,     21.04 
 242.694,     34.51 
 243.075,    -19.36 
 243.455,     39.00 
 243.835,     -3.65 
 244.215,    -12.62 
 244.595,     32.26 
 244.974,     21.04 
 245.354,      3.09 
 245.734,    -39.56 
 246.114,    -70.98 
 246.494,      5.33 
 246.873,    -21.60 
 247.253,    -19.36 
 247.633,     -1.40 
 248.012,    -50.78 
 248.392,    -68.73 
 248.771,     23.29 
 249.151,    -10.38 
 249.530,     25.53 
 249.910,     23.29 
 250.289,    -48.53 
 250.669,    -62.00 
 251.048,    -28.33 
 251.427,    -44.05 
 251.806,     45.73 
 252.186,    -21.60 
 252.565,      9.82 
 252.944,     23.29 
 253.323,     52.46 
 253.702,     -8.14 
 254.081,     -3.65 
 254.460,    -17.11 
 254.839,     30.02 
 255.218,    -37.31 
 255.597,    -14.87 
 255.976,    -39.56 
 256.355,     -3.65 
 256.733,     72.66 
 257.112,     -1.40 
 257.491,      9.82 
 257.870,    -28.33 
 258.248,    -12.62 
 258.627,    -17.11 
 259.005,    -79.95 
 259.384,    -14.87 
 259.762,   -104.64 
 260.141,    -41.80 
 260.519,     21.04 
 260.898,      9.82 
 261.276,     39.00 
 261.654,     -3.65 
 262.033,     68.17 
 262.411,     43.48 
 262.789,    -28.33 
 263.167,      7.57 
 263.545,    -86.69 
 263.924,     -3.65 
 264.302,     43.48 
 264.680,    -21.60 
 265.058,    -68.73 
 265.436,      7.57 
 265.813,     36.75 
 266.191,     21.04 
 266.569,      7.57 
 266.947,    -41.80 
 267.325,     -8.14 
 267.702,    -21.60 
 268.080,     -1.40 
 268.458,      3.09 
 268.835,     50.22 
 269.213,      9.82 
 269.591,    -12.62 
 269.968,      3.09 
 270.346,      7.57 
 270.723,     52.46 
 271.100,    -35.07 
 271.478,     41.24 
 271.855,    -17.11 
 272.232,    -14.87 
 272.610,      3.09 
 272.987,    -21.60 
 273.364,    -77.71 
 273.741,    -17.11 
 274.118,    -19.36 
 274.495,     43.48 
 274.872,     79.39 
 275.249,    -62.00 
 275.626,     21.04 
 276.003,    -17.11 
 276.380,      7.57 
