Wavelength,Intensity
 177.185,    -31.00 
 177.571,    -31.00 
 177.957,    -31.00 
 178.343,    -24.27 
 178.729,    -93.84 
 179.115,    -66.91 
 179.500,    -31.00 
 179.886,      4.91 
 180.272,     36.33 
 180.658,    -13.05 
 181.043,     54.29 
 181.429,     25.11 
 181.815,     29.60 
 182.200,     -4.07 
 182.586,      9.40 
 182.972,     31.84 
 183.357,     49.80 
 183.743,     22.86 
 184.128,    -15.29 
 184.513,     18.38 
 184.899,    -44.47 
 185.284,     38.57 
 185.670,     31.84 
 186.055,      4.91 
 186.440,    -64.67 
 186.825,    -13.05 
 187.210,      2.67 
 187.596,    -39.98 
 187.981,    -13.05 
 188.366,    -10.80 
 188.751,     63.26 
 189.136,    -13.05 
 189.521,    -35.49 
 189.906,    -15.29 
 190.291,     40.82 
 190.676,     25.11 
 191.060,     63.26 
 191.445,     49.80 
 191.830,      2.67 
 192.215,     16.13 
 192.599,    -53.44 
 192.984,     38.57 
 193.369,      2.67 
 193.753,     -6.31 
 194.138,    -39.98 
 194.522,    -33.24 
 194.907,    -19.78 
 195.291,     31.84 
 195.676,    -10.80 
 196.060,     13.89 
 196.445,     27.35 
 196.829,     47.55 
 197.213,    -13.05 
 197.597,     -6.31 
 197.982,     16.13 
 198.366,     36.33 
 198.750,    -15.29 
 199.134,     -6.31 
 199.518,    -15.29 
 199.902,    -46.71 
 200.286,    -53.44 
 200.670,    -46.71 
 201.054,    -28.76 
 201.438,    -39.98 
 201.822,     67.75 
 202.206,     -6.31 
 202.590,    -10.80 
 202.973,    -28.76 
 203.357,     49.80 
 203.741,    -66.91 
 204.124,    -33.24 
 204.508,    -48.95 
 204.892,     90.19 
 205.275,    -53.44 
 205.659,    -62.42 
 206.042,     13.89 
 206.426,     45.31 
 206.809,    -28.76 
 207.193,    -10.80 
 207.576,     -8.56 
 207.959,      0.42 
 208.342,    -17.53 
 208.726,    -19.78 
 209.109,     -6.31 
 209.492,    -17.53 
 209.875,    -62.42 
 210.258,    -33.24 
 210.641,     -4.07 
 211.025,    -22.02 
 211.408,     -1.82 
 211.790,     22.86 
 212.173,    -66.91 
 212.556,    -57.93 
 212.939,    -10.80 
 213.322,    -46.71 
 213.705,    -53.44 
 214.088,    -26.51 
 214.470,     13.89 
 214.853,     38.57 
 215.236,      2.67 
 215.618,     90.19 
 216.001,     -8.56 
 216.383,     25.11 
 216.766,    -19.78 
 217.148,     11.64 
 217.531,     54.29 
 217.913,     18.38 
 218.296,     -1.82 
 218.678,      4.91 
 219.060,    -17.53 
 219.443,      4.91 
 219.825,     29.60 
 220.207,    -19.78 
 220.589,     40.82 
 220.971,      4.91 
 221.353,      9.40 
 221.735,     22.86 
 222.118,     11.64 
 222.500,    -33.24 
 222.881,     36.33 
 223.263,     25.11 
 223.645,    -60.18 
 224.027,    -48.95 
